Month	L	M	S	SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3
0	-0.3053	13.4069	0.09560	10.2	11.1	12.2	13.4	14.8	16.3	18.1
1	0.2708	14.9441	0.09027	11.3	12.4	13.6	14.9	16.3	17.8	19.4
2	0.1118	16.3195	0.08677	12.5	13.7	15.0	16.3	17.8	19.4	21.1
3	0.0068	16.8987	0.08495	13.1	14.3	15.5	16.9	18.4	20.0	21.8
4	-0.0727	17.1579	0.08378	13.4	14.5	15.8	17.2	18.7	20.3	22.1
5	-0.1370	17.2919	0.08296	13.5	14.7	15.9	17.3	18.8	20.5	22.3
6	-0.1913	17.3422	0.08234	13.6	14.7	16.0	17.3	18.8	20.5	22.3
7	-0.2385	17.3288	0.08183	13.7	14.8	16.0	17.3	18.8	20.5	22.3
8	-0.2802	17.2647	0.08140	13.6	14.7	15.9	17.3	18.7	20.4	22.2
9	-0.3176	17.1662	0.08102	13.6	14.7	15.8	17.2	18.6	20.3	22.1
10	-0.3516	17.0488	0.08068	13.5	14.6	15.7	17.0	18.5	20.1	22.0
11	-0.3828	16.9239	0.08037	13.4	14.5	15.6	16.9	18.4	20.0	21.8
12	-0.4115	16.7981	0.08009	13.4	14.4	15.5	16.8	18.2	19.8	21.6
13	-0.4382	16.6743	0.07982	13.3	14.3	15.4	16.7	18.1	19.7	21.5
14	-0.4630	16.5548	0.07958	13.2	14.2	15.3	16.6	18.0	19.5	21.3
15	-0.4863	16.4409	0.07935	13.1	14.1	15.2	16.4	17.8	19.4	21.2
16	-0.5082	16.3335	0.07913	13.1	14.0	15.1	16.3	17.7	19.3	21.0
17	-0.5289	16.2329	0.07892	13.0	13.9	15.0	16.2	17.6	19.1	20.9
18	-0.5484	16.1392	0.07873	12.9	13.9	14.9	16.1	17.5	19.0	20.8
19	-0.5669	16.0528	0.07854	12.9	13.8	14.9	16.1	17.4	18.9	20.7
20	-0.5846	15.9743	0.07836	12.8	13.7	14.8	16.0	17.3	18.8	20.6
21	-0.6014	15.9039	0.07818	12.8	13.7	14.7	15.9	17.2	18.7	20.5
22	-0.6174	15.8412	0.07802	12.7	13.6	14.7	15.8	17.2	18.7	20.4
23	-0.6328	15.7852	0.07786	12.7	13.6	14.6	15.8	17.1	18.6	20.3
24	-0.6473	15.7356	0.07771	12.7	13.6	14.6	15.7	17.0	18.5	20.3
