Month	L	M	S	SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3
24	-0.6187	16.0189	0.07785	12.9	13.8	14.8	16.0	17.3	18.9	20.6
25	-0.5840	15.9800	0.07792	12.8	13.8	14.8	16.0	17.3	18.8	20.5
26	-0.5497	15.9414	0.07800	12.8	13.7	14.8	15.9	17.3	18.8	20.5
27	-0.5166	15.9036	0.07808	12.7	13.7	14.7	15.9	17.2	18.7	20.4
28	-0.4850	15.8667	0.07818	12.7	13.6	14.7	15.9	17.2	18.7	20.4
29	-0.4552	15.8306	0.07829	12.7	13.6	14.7	15.8	17.1	18.6	20.3
30	-0.4274	15.7953	0.07841	12.6	13.6	14.6	15.8	17.1	18.6	20.2
31	-0.4016	15.7606	0.07854	12.6	13.5	14.6	15.8	17.1	18.5	20.2
32	-0.3782	15.7267	0.07867	12.5	13.5	14.6	15.7	17.0	18.5	20.1
33	-0.3572	15.6934	0.07882	12.5	13.5	14.5	15.7	17.0	18.5	20.1
34	-0.3388	15.6610	0.07897	12.5	13.4	14.5	15.7	17.0	18.4	20.0
35	-0.3231	15.6294	0.07914	12.4	13.4	14.5	15.6	16.9	18.4	20.0
36	-0.3101	15.5988	0.07931	12.4	13.4	14.4	15.6	16.9	18.4	20.0
37	-0.3000	15.5693	0.07950	12.4	13.3	14.4	15.6	16.9	18.3	19.9
38	-0.2927	15.5410	0.07969	12.3	13.3	14.4	15.5	16.8	18.3	19.9
39	-0.2884	15.5140	0.07990	12.3	13.3	14.3	15.5	16.8	18.3	19.9
40	-0.2869	15.4885	0.08012	12.3	13.2	14.3	15.5	16.8	18.2	19.9
41	-0.2881	15.4645	0.08036	12.2	13.2	14.3	15.5	16.8	18.2	19.9
42	-0.2919	15.4420	0.08061	12.2	13.2	14.3	15.4	16.8	18.2	19.8
43	-0.2981	15.4210	0.08087	12.2	13.2	14.2	15.4	16.7	18.2	19.8
44	-0.3067	15.4013	0.08115	12.2	13.1	14.2	15.4	16.7	18.2	19.8
45	-0.3174	15.3827	0.08144	12.2	13.1	14.2	15.4	16.7	18.2	19.8
46	-0.3303	15.3652	0.08174	12.1	13.1	14.2	15.4	16.7	18.2	19.8
47	-0.3452	15.3485	0.08205	12.1	13.1	14.2	15.3	16.7	18.2	19.9
48	-0.3622	15.3326	0.08238	12.1	13.1	14.1	15.3	16.7	18.2	19.9
49	-0.3811	15.3174	0.08272	12.1	13.0	14.1	15.3	16.7	18.2	19.9
50	-0.4019	15.3029	0.08307	12.1	13.0	14.1	15.3	16.7	18.2	19.9
51	-0.4245	15.2891	0.08343	12.1	13.0	14.1	15.3	16.6	18.2	19.9
52	-0.4488	15.2759	0.08380	12.0	13.0	14.1	15.3	16.6	18.2	19.9
53	-0.4747	15.2633	0.08418	12.0	13.0	14.1	15.3	16.6	18.2	20.0
54	-0.5019	15.2514	0.08457	12.0	13.0	14.0	15.3	16.6	18.2	20.0
55	-0.5303	15.2400	0.08496	12.0	13.0	14.0	15.2	16.6	18.2	20.0
56	-0.5599	15.2291	0.08536	12.0	12.9	14.0	15.2	16.6	18.2	20.1
57	-0.5905	15.2188	0.08577	12.0	12.9	14.0	15.2	16.6	18.2	20.1
58	-0.6223	15.2091	0.08617	12.0	12.9	14.0	15.2	16.6	18.3	20.2
59	-0.6552	15.2000	0.08659	12.0	12.9	14.0	15.2	16.6	18.3	20.2
60	-0.6892	15.1916	0.08700	12.0	12.9	14.0	15.2	16.6	18.3	20.3
