Month	L	M	S	SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3
24	-0.5684	15.6881	0.08454	12.4	13.3	14.4	15.7	17.1	18.7	20.6
25	-0.5684	15.6590	0.08452	12.4	13.3	14.4	15.7	17.1	18.7	20.6
26	-0.5684	15.6308	0.08449	12.3	13.3	14.4	15.6	17.0	18.7	20.6
27	-0.5684	15.6037	0.08446	12.3	13.3	14.4	15.6	17.0	18.6	20.5
28	-0.5684	15.5777	0.08444	12.3	13.3	14.3	15.6	17.0	18.6	20.5
29	-0.5684	15.5523	0.08443	12.3	13.2	14.3	15.6	17.0	18.6	20.4
30	-0.5684	15.5276	0.08444	12.3	13.2	14.3	15.5	16.9	18.5	20.4
31	-0.5684	15.5034	0.08448	12.2	13.2	14.3	15.5	16.9	18.5	20.4
32	-0.5684	15.4798	0.08455	12.2	13.2	14.3	15.5	16.9	18.5	20.4
33	-0.5684	15.4572	0.08467	12.2	13.1	14.2	15.5	16.9	18.5	20.3
34	-0.5684	15.4356	0.08484	12.2	13.1	14.2	15.4	16.8	18.5	20.3
35	-0.5684	15.4155	0.08506	12.1	13.1	14.2	15.4	16.8	18.4	20.3
36	-0.5684	15.3968	0.08535	12.1	13.1	14.2	15.4	16.8	18.4	20.3
37	-0.5684	15.3796	0.08569	12.1	13.1	14.1	15.4	16.8	18.4	20.3
38	-0.5684	15.3638	0.08609	12.1	13.0	14.1	15.4	16.8	18.4	20.3
39	-0.5684	15.3493	0.08654	12.0	13.0	14.1	15.3	16.8	18.4	20.3
40	-0.5684	15.3358	0.08704	12.0	13.0	14.1	15.3	16.8	18.4	20.3
41	-0.5684	15.3233	0.08757	12.0	13.0	14.1	15.3	16.8	18.4	20.4
42	-0.5684	15.3116	0.08813	12.0	12.9	14.0	15.3	16.8	18.4	20.4
43	-0.5684	15.3007	0.08872	11.9	12.9	14.0	15.3	16.8	18.4	20.4
44	-0.5684	15.2905	0.08931	11.9	12.9	14.0	15.3	16.8	18.5	20.4
45	-0.5684	15.2814	0.08991	11.9	12.9	14.0	15.3	16.8	18.5	20.5
46	-0.5684	15.2732	0.09051	11.9	12.9	14.0	15.3	16.8	18.5	20.5
47	-0.5684	15.2661	0.09110	11.8	12.8	14.0	15.3	16.8	18.5	20.5
48	-0.5684	15.2602	0.09168	11.8	12.8	14.0	15.3	16.8	18.5	20.6
49	-0.5684	15.2556	0.09227	11.8	12.8	13.9	15.3	16.8	18.5	20.6
50	-0.5684	15.2523	0.09286	11.8	12.8	13.9	15.3	16.8	18.6	20.7
51	-0.5684	15.2503	0.09345	11.8	12.8	13.9	15.3	16.8	18.6	20.7
52	-0.5684	15.2496	0.09403	11.7	12.8	13.9	15.2	16.8	18.6	20.7
53	-0.5684	15.2502	0.09460	11.7	12.7	13.9	15.3	16.8	18.6	20.8
54	-0.5684	15.2519	0.09515	11.7	12.7	13.9	15.3	16.8	18.7	20.8
55	-0.5684	15.2544	0.09568	11.7	12.7	13.9	15.3	16.8	18.7	20.9
56	-0.5684	15.2575	0.09618	11.7	12.7	13.9	15.3	16.8	18.7	20.9
57	-0.5684	15.2612	0.09665	11.7	12.7	13.9	15.3	16.9	18.7	21.0
58	-0.5684	15.2653	0.09709	11.7	12.7	13.9	15.3	16.9	18.8	21.0
59	-0.5684	15.2698	0.09750	11.6	12.7	13.9	15.3	16.9	18.8	21.0
60	-0.5684	15.2747	0.09789	11.6	12.7	13.9	15.3	16.9	18.8	21.1
