Month	L	M	S	SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3
60	-0.72895	16.51891	0.08670	13.0	14.0	15.2	16.5	18.1	19.9	22.0
61	-0.75845	16.55158	0.08699	13.0	14.1	15.2	16.6	18.1	19.9	22.1
62	-0.78927	16.58562	0.08728	13.1	14.1	15.2	16.6	18.2	20.0	22.2
63	-0.82138	16.62121	0.08758	13.1	14.1	15.3	16.6	18.2	20.1	22.3
64	-0.85473	16.65854	0.08789	13.1	14.1	15.3	16.7	18.3	20.2	22.5
65	-0.88928	16.69781	0.08819	13.2	14.2	15.3	16.7	18.3	20.2	22.6
66	-0.92496	16.73915	0.08851	13.2	14.2	15.4	16.7	18.4	20.3	22.7
67	-0.96164	16.78248	0.08882	13.2	14.2	15.4	16.8	18.4	20.4	22.8
68	-0.99919	16.82768	0.08915	13.3	14.3	15.5	16.8	18.5	20.5	23.0
69	-1.03745	16.87463	0.08948	13.3	14.3	15.5	16.9	18.5	20.6	23.1
70	-1.07629	16.92319	0.08981	13.4	14.4	15.5	16.9	18.6	20.7	23.3
71	-1.11556	16.97324	0.09015	13.4	14.4	15.6	17.0	18.7	20.8	23.4
72	-1.15511	17.02466	0.09049	13.4	14.4	15.6	17.0	18.7	20.9	23.6
73	-1.19480	17.07731	0.09084	13.5	14.5	15.7	17.1	18.8	21.0	23.7
74	-1.23449	17.13106	0.09120	13.5	14.5	15.7	17.1	18.9	21.1	23.9
75	-1.27403	17.18581	0.09156	13.6	14.6	15.8	17.2	18.9	21.2	24.1
76	-1.31328	17.24140	0.09193	13.6	14.6	15.8	17.2	19.0	21.3	24.3
77	-1.35210	17.29773	0.09231	13.7	14.7	15.9	17.3	19.1	21.4	24.5
78	-1.39034	17.35466	0.09269	13.7	14.7	15.9	17.4	19.2	21.5	24.7
79	-1.42785	17.41207	0.09308	13.8	14.8	16.0	17.4	19.2	21.6	24.9
80	-1.46450	17.46982	0.09347	13.8	14.8	16.0	17.5	19.3	21.7	25.1
81	-1.50018	17.52784	0.09388	13.9	14.9	16.1	17.5	19.4	21.9	25.3
82	-1.53485	17.58607	0.09428	13.9	14.9	16.1	17.6	19.5	22.0	25.5
83	-1.56850	17.64449	0.09470	13.9	14.9	16.2	17.6	19.5	22.1	25.7
84	-1.60108	17.70307	0.09512	14.0	15.0	16.2	17.7	19.6	22.2	25.9
85	-1.63258	17.76178	0.09555	14.0	15.0	16.3	17.8	19.7	22.3	26.1
86	-1.66297	17.82059	0.09598	14.1	15.1	16.3	17.8	19.8	22.5	26.4
87	-1.69222	17.87946	0.09642	14.1	15.1	16.4	17.9	19.9	22.6	26.6
88	-1.72030	17.93836	0.09687	14.2	15.2	16.4	17.9	19.9	22.7	26.8
89	-1.74719	17.99727	0.09732	14.2	15.2	16.5	18.0	20.0	22.8	27.1
90	-1.77285	18.05615	0.09778	14.3	15.3	16.5	18.1	20.1	23.0	27.3
91	-1.79727	18.11498	0.09824	14.3	15.3	16.5	18.1	20.2	23.1	27.6
92	-1.82040	18.17371	0.09871	14.3	15.4	16.6	18.2	20.3	23.2	27.8
93	-1.84224	18.23233	0.09918	14.4	15.4	16.6	18.2	20.3	23.3	28.1
94	-1.86274	18.29080	0.09966	14.4	15.4	16.7	18.3	20.4	23.5	28.3
95	-1.88189	18.34908	0.10014	14.5	15.5	16.7	18.3	20.5	23.6	28.6
96	-1.89968	18.40721	0.10063	14.5	15.5	16.8	18.4	20.6	23.7	28.8
97	-1.91614	18.46524	0.10112	14.5	15.6	16.8	18.5	20.7	23.8	29.1
98	-1.93128	18.52324	0.10162	14.6	15.6	16.9	18.5	20.7	24.0	29.3
99	-1.94514	18.58127	0.10211	14.6	15.6	16.9	18.6	20.8	24.1	29.6
