Month	L	M	S	SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3
60	-0.49271	16.81684	0.09338	12.9	14.1	15.3	16.8	18.5	20.5	22.7
61	-0.50464	16.86234	0.09380	13.0	14.1	15.4	16.9	18.6	20.5	22.8
62	-0.51656	16.90778	0.09423	13.0	14.1	15.4	16.9	18.6	20.6	23.0
63	-0.52844	16.95319	0.09467	13.0	14.2	15.5	17.0	18.7	20.7	23.1
64	-0.54030	16.99859	0.09512	13.0	14.2	15.5	17.0	18.7	20.8	23.2
65	-0.55212	17.04400	0.09557	13.1	14.2	15.5	17.0	18.8	20.9	23.3
66	-0.56392	17.08945	0.09603	13.1	14.2	15.6	17.1	18.9	20.9	23.4
67	-0.57568	17.13499	0.09649	13.1	14.3	15.6	17.1	18.9	21.0	23.5
68	-0.58740	17.18065	0.09696	13.1	14.3	15.6	17.2	19.0	21.1	23.6
69	-0.59908	17.22647	0.09744	13.2	14.3	15.7	17.2	19.0	21.2	23.8
70	-0.61073	17.27250	0.09793	13.2	14.4	15.7	17.3	19.1	21.3	23.9
71	-0.62233	17.31876	0.09842	13.2	14.4	15.7	17.3	19.2	21.4	24.0
72	-0.63388	17.36531	0.09892	13.2	14.4	15.8	17.4	19.2	21.5	24.1
73	-0.64539	17.41218	0.09943	13.3	14.4	15.8	17.4	19.3	21.5	24.3
74	-0.65684	17.45942	0.09995	13.3	14.5	15.8	17.5	19.4	21.6	24.4
75	-0.66825	17.50705	0.10047	13.3	14.5	15.9	17.5	19.4	21.7	24.5
76	-0.67959	17.55514	0.10100	13.3	14.5	15.9	17.6	19.5	21.8	24.6
77	-0.69089	17.60370	0.10154	13.4	14.6	16.0	17.6	19.6	21.9	24.8
78	-0.70212	17.65279	0.10208	13.4	14.6	16.0	17.7	19.6	22.0	24.9
79	-0.71329	17.70244	0.10263	13.4	14.6	16.0	17.7	19.7	22.1	25.1
80	-0.72439	17.75270	0.10319	13.4	14.6	16.1	17.8	19.8	22.2	25.2
