Month	L	M	S	SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3
3	-0.1733	13.0284	0.08263	10.2	11.1	12.0	13.0	14.2	15.4	16.8
4	-0.1733	13.3649	0.08298	10.5	11.3	12.3	13.4	14.5	15.8	17.2
5	-0.1733	13.6061	0.08325	10.7	11.5	12.5	13.6	14.8	16.1	17.6
6	-0.1733	13.7771	0.08343	10.8	11.7	12.7	13.8	15.0	16.3	17.8
7	-0.1733	13.9018	0.08352	10.9	11.8	12.8	13.9	15.1	16.5	18.0
8	-0.1733	13.9952	0.08351	11.0	11.9	12.9	14.0	15.2	16.6	18.1
9	-0.1733	14.0665	0.08342	11.0	11.9	12.9	14.1	15.3	16.7	18.2
10	-0.1733	14.1217	0.08326	11.1	12.0	13.0	14.1	15.4	16.7	18.2
11	-0.1733	14.1667	0.08305	11.1	12.0	13.0	14.2	15.4	16.8	18.3
12	-0.1733	14.2065	0.08280	11.1	12.1	13.1	14.2	15.4	16.8	18.3
13	-0.1733	14.2455	0.08254	11.2	12.1	13.1	14.2	15.5	16.8	18.3
14	-0.1733	14.2859	0.08227	11.2	12.1	13.2	14.3	15.5	16.9	18.4
15	-0.1733	14.3289	0.08202	11.3	12.2	13.2	14.3	15.6	16.9	18.4
16	-0.1733	14.3752	0.08179	11.3	12.2	13.3	14.4	15.6	17.0	18.5
17	-0.1733	14.4254	0.08160	11.4	12.3	13.3	14.4	15.7	17.0	18.5
18	-0.1733	14.4795	0.08143	11.4	12.3	13.4	14.5	15.7	17.1	18.6
19	-0.1733	14.5372	0.08131	11.4	12.4	13.4	14.5	15.8	17.1	18.7
20	-0.1733	14.5987	0.08123	11.5	12.4	13.5	14.6	15.8	17.2	18.7
21	-0.1733	14.6639	0.08118	11.6	12.5	13.5	14.7	15.9	17.3	18.8
22	-0.1733	14.7328	0.08118	11.6	12.6	13.6	14.7	16.0	17.4	18.9
23	-0.1733	14.8049	0.08121	11.7	12.6	13.7	14.8	16.1	17.5	19.0
24	-0.1733	14.8795	0.08127	11.7	12.7	13.7	14.9	16.1	17.5	19.1
25	-0.1733	14.9559	0.08136	11.8	12.7	13.8	15.0	16.2	17.6	19.2
26	-0.1733	15.0327	0.08147	11.8	12.8	13.9	15.0	16.3	17.7	19.3
27	-0.1733	15.1085	0.08161	11.9	12.9	13.9	15.1	16.4	17.8	19.4
28	-0.1733	15.1817	0.08178	11.9	12.9	14.0	15.2	16.5	17.9	19.5
29	-0.1733	15.2514	0.08196	12.0	13.0	14.1	15.3	16.6	18.0	19.6
30	-0.1733	15.3168	0.08217	12.0	13.0	14.1	15.3	16.6	18.1	19.7
31	-0.1733	15.3779	0.08240	12.1	13.1	14.2	15.4	16.7	18.2	19.8
32	-0.1733	15.4351	0.08265	12.1	13.1	14.2	15.4	16.8	18.3	19.9
33	-0.1733	15.4895	0.08292	12.1	13.2	14.3	15.5	16.8	18.3	20.0
34	-0.1733	15.5423	0.08320	12.2	13.2	14.3	15.5	16.9	18.4	20.1
35	-0.1733	15.5941	0.08351	12.2	13.2	14.4	15.6	17.0	18.5	20.1
36	-0.1733	15.6456	0.08383	12.2	13.3	14.4	15.6	17.0	18.5	20.2
37	-0.1733	15.6969	0.08416	12.3	13.3	14.4	15.7	17.1	18.6	20.3
38	-0.1733	15.7483	0.08451	12.3	13.3	14.5	15.7	17.1	18.7	20.4
39	-0.1733	15.7997	0.08487	12.3	13.4	14.5	15.8	17.2	18.8	20.5
40	-0.1733	15.8509	0.08525	12.3	13.4	14.6	15.9	17.3	18.8	20.6
41	-0.1733	15.9016	0.08563	12.4	13.4	14.6	15.9	17.3	18.9	20.7
42	-0.1733	15.9518	0.08602	12.4	13.5	14.6	16.0	17.4	19.0	20.8
43	-0.1733	16.0016	0.08642	12.4	13.5	14.7	16.0	17.5	19.1	20.9
44	-0.1733	16.0509	0.08683	12.4	13.5	14.7	16.1	17.5	19.1	21.0
45	-0.1733	16.1001	0.08723	12.5	13.6	14.8	16.1	17.6	19.2	21.0
46	-0.1733	16.1491	0.08765	12.5	13.6	14.8	16.1	17.6	19.3	21.1
47	-0.1733	16.1983	0.08806	12.5	13.6	14.8	16.2	17.7	19.4	21.2
48	-0.1733	16.2477	0.08848	12.5	13.6	14.9	16.2	17.8	19.4	21.3
49	-0.1733	16.2974	0.08890	12.6	13.7	14.9	16.3	17.8	19.5	21.4
50	-0.1733	16.3475	0.08932	12.6	13.7	15.0	16.3	17.9	19.6	21.5
51	-0.1733	16.3981	0.08974	12.6	13.7	15.0	16.4	18.0	19.7	21.6
52	-0.1733	16.4490	0.09016	12.6	13.8	15.0	16.4	18.0	19.8	21.7
53	-0.1733	16.5001	0.09057	12.7	13.8	15.1	16.5	18.1	19.8	21.8
54	-0.1733	16.5514	0.09099	12.7	13.8	15.1	16.6	18.1	19.9	21.9
55	-0.1733	16.6026	0.09140	12.7	13.9	15.2	16.6	18.2	20.0	22.0
56	-0.1733	16.6534	0.09181	12.7	13.9	15.2	16.7	18.3	20.1	22.1
57	-0.1733	16.7039	0.09221	12.7	13.9	15.2	16.7	18.3	20.1	22.2
58	-0.1733	16.7539	0.09262	12.8	14.0	15.3	16.8	18.4	20.2	22.3
59	-0.1733	16.8034	0.09301	12.8	14.0	15.3	16.8	18.5	20.3	22.4
60	-0.1733	16.8526	0.09341	12.8	14.0	15.4	16.9	18.5	20.4	22.5
