Month	L	M	S	SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3
3	-0.3033	7.6899	0.17020	4.8	5.6	6.5	7.7	9.2	11.0	13.4
4	-0.3278	7.4968	0.17097	4.7	5.4	6.3	7.5	8.9	10.8	13.1
5	-0.3503	7.3207	0.17167	4.6	5.3	6.2	7.3	8.7	10.6	12.9
6	-0.3712	7.1588	0.17232	4.5	5.2	6.1	7.2	8.6	10.4	12.7
7	-0.3909	7.0104	0.17293	4.4	5.1	5.9	7.0	8.4	10.2	12.5
8	-0.4097	6.8753	0.17352	4.3	5.0	5.8	6.9	8.2	10.0	12.3
9	-0.4276	6.7530	0.17408	4.2	4.9	5.7	6.8	8.1	9.8	12.2
10	-0.4449	6.6428	0.17462	4.1	4.8	5.6	6.6	8.0	9.7	12.1
11	-0.4616	6.5442	0.17514	4.1	4.7	5.5	6.5	7.9	9.6	11.9
12	-0.4777	6.4562	0.17564	4.0	4.7	5.5	6.5	7.8	9.5	11.8
13	-0.4934	6.3780	0.17613	4.0	4.6	5.4	6.4	7.7	9.4	11.8
14	-0.5087	6.3085	0.17660	3.9	4.6	5.3	6.3	7.6	9.3	11.7
15	-0.5236	6.2468	0.17707	3.9	4.5	5.3	6.2	7.5	9.2	11.6
16	-0.5381	6.1921	0.17752	3.9	4.5	5.2	6.2	7.5	9.2	11.6
17	-0.5524	6.1435	0.17797	3.8	4.4	5.2	6.1	7.4	9.1	11.6
18	-0.5663	6.1003	0.17840	3.8	4.4	5.1	6.1	7.4	9.1	11.5
19	-0.5800	6.0617	0.17883	3.8	4.4	5.1	6.1	7.3	9.1	11.5
20	-0.5934	6.0274	0.17925	3.8	4.4	5.1	6.0	7.3	9.0	11.5
21	-0.6066	5.9972	0.17966	3.8	4.3	5.1	6.0	7.3	9.0	11.5
22	-0.6196	5.9706	0.18006	3.7	4.3	5.0	6.0	7.2	9.0	11.5
23	-0.6324	5.9470	0.18046	3.7	4.3	5.0	5.9	7.2	9.0	11.5
24	-0.6449	5.9258	0.18085	3.7	4.3	5.0	5.9	7.2	8.9	11.6
25	-0.6573	5.9067	0.18124	3.7	4.3	5.0	5.9	7.2	8.9	11.6
26	-0.6695	5.8891	0.18162	3.7	4.3	5.0	5.9	7.1	8.9	11.6
27	-0.6816	5.8729	0.18199	3.7	4.2	4.9	5.9	7.1	8.9	11.6
28	-0.6935	5.8576	0.18237	3.7	4.2	4.9	5.9	7.1	8.9	11.7
29	-0.7053	5.8431	0.18273	3.7	4.2	4.9	5.8	7.1	8.9	11.7
30	-0.7169	5.8290	0.18309	3.7	4.2	4.9	5.8	7.1	8.9	11.7
31	-0.7283	5.8150	0.18345	3.7	4.2	4.9	5.8	7.1	8.9	11.7
32	-0.7397	5.8011	0.18381	3.7	4.2	4.9	5.8	7.1	8.9	11.8
33	-0.7509	5.7870	0.18416	3.6	4.2	4.9	5.8	7.1	8.9	11.8
34	-0.7620	5.7727	0.18450	3.6	4.2	4.9	5.8	7.0	8.9	11.8
35	-0.7730	5.7580	0.18485	3.6	4.2	4.8	5.8	7.0	8.9	11.9
36	-0.7839	5.7430	0.18519	3.6	4.1	4.8	5.7	7.0	8.9	11.9
37	-0.7947	5.7278	0.18552	3.6	4.1	4.8	5.7	7.0	8.9	11.9
38	-0.8054	5.7125	0.18585	3.6	4.1	4.8	5.7	7.0	8.9	12.0
39	-0.8159	5.6971	0.18618	3.6	4.1	4.8	5.7	7.0	8.9	12.0
40	-0.8264	5.6815	0.18651	3.6	4.1	4.8	5.7	7.0	8.9	12.0
41	-0.8368	5.6658	0.18684	3.6	4.1	4.8	5.7	6.9	8.9	12.1
42	-0.8471	5.6500	0.18716	3.6	4.1	4.7	5.6	6.9	8.9	12.1
43	-0.8574	5.6339	0.18748	3.6	4.1	4.7	5.6	6.9	8.9	12.1
44	-0.8675	5.6174	0.18779	3.6	4.1	4.7	5.6	6.9	8.8	12.2
45	-0.8775	5.6006	0.18811	3.5	4.0	4.7	5.6	6.9	8.8	12.2
46	-0.8875	5.5834	0.18842	3.5	4.0	4.7	5.6	6.9	8.8	12.2
47	-0.8974	5.5659	0.18873	3.5	4.0	4.7	5.6	6.8	8.8	12.3
48	-0.9073	5.5482	0.18903	3.5	4.0	4.7	5.5	6.8	8.8	12.3
49	-0.9170	5.5303	0.18934	3.5	4.0	4.6	5.5	6.8	8.8	12.3
50	-0.9267	5.5125	0.18964	3.5	4.0	4.6	5.5	6.8	8.8	12.4
51	-0.9363	5.4948	0.18994	3.5	4.0	4.6	5.5	6.8	8.8	12.4
52	-0.9459	5.4774	0.19024	3.5	4.0	4.6	5.5	6.8	8.8	12.4
53	-0.9554	5.4606	0.19053	3.5	3.9	4.6	5.5	6.7	8.8	12.5
54	-0.9648	5.4443	0.19083	3.5	3.9	4.6	5.4	6.7	8.8	12.5
55	-0.9742	5.4288	0.19112	3.4	3.9	4.6	5.4	6.7	8.8	12.6
56	-0.9835	5.4140	0.19141	3.4	3.9	4.5	5.4	6.7	8.8	12.6
57	-0.9928	5.4000	0.19170	3.4	3.9	4.5	5.4	6.7	8.7	12.7
58	-1.0020	5.3868	0.19199	3.4	3.9	4.5	5.4	6.7	8.7	12.7
59	-1.0111	5.3744	0.19227	3.4	3.9	4.5	5.4	6.7	8.7	12.8
60	-1.0202	5.3628	0.19255	3.4	3.9	4.5	5.4	6.6	8.7	12.8
