Month	L	M	S	SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3
3	-0.2026	7.7846	0.18428	4.6	5.5	6.5	7.8	9.4	11.4	14.0
4	-0.2577	7.5405	0.18430	4.5	5.3	6.3	7.5	9.1	11.1	13.7
5	-0.3020	7.3384	0.18428	4.4	5.2	6.1	7.3	8.9	10.8	13.4
6	-0.3394	7.1637	0.18425	4.3	5.1	6.0	7.2	8.7	10.6	13.2
7	-0.3718	7.0118	0.18421	4.2	5.0	5.9	7.0	8.5	10.4	13.0
8	-0.4005	6.8807	0.18412	4.2	4.9	5.8	6.9	8.3	10.2	12.8
9	-0.4263	6.7679	0.18399	4.1	4.8	5.7	6.8	8.2	10.1	12.7
10	-0.4498	6.6707	0.18387	4.1	4.7	5.6	6.7	8.1	10.0	12.6
11	-0.4713	6.5867	0.18381	4.0	4.7	5.5	6.6	8.0	9.9	12.5
12	-0.4912	6.5138	0.18383	4.0	4.6	5.5	6.5	7.9	9.8	12.4
13	-0.5098	6.4505	0.18394	4.0	4.6	5.4	6.5	7.8	9.7	12.3
14	-0.5272	6.3955	0.18415	3.9	4.6	5.4	6.4	7.8	9.6	12.3
15	-0.5435	6.3474	0.18446	3.9	4.5	5.3	6.3	7.7	9.6	12.3
16	-0.5590	6.3055	0.18487	3.9	4.5	5.3	6.3	7.7	9.5	12.2
17	-0.5736	6.2689	0.18538	3.9	4.5	5.3	6.3	7.6	9.5	12.2
18	-0.5876	6.2373	0.18598	3.8	4.5	5.2	6.2	7.6	9.5	12.3
19	-0.6009	6.2101	0.18666	3.8	4.4	5.2	6.2	7.6	9.5	12.3
20	-0.6136	6.1868	0.18741	3.8	4.4	5.2	6.2	7.5	9.5	12.3
21	-0.6257	6.1669	0.18823	3.8	4.4	5.2	6.2	7.5	9.5	12.4
22	-0.6374	6.1500	0.18911	3.8	4.4	5.1	6.2	7.5	9.5	12.4
23	-0.6487	6.1355	0.19005	3.8	4.4	5.1	6.1	7.5	9.5	12.5
24	-0.6595	6.1232	0.19104	3.8	4.4	5.1	6.1	7.5	9.5	12.6
25	-0.6700	6.1129	0.19207	3.8	4.3	5.1	6.1	7.5	9.5	12.7
26	-0.6801	6.1041	0.19315	3.7	4.3	5.1	6.1	7.5	9.6	12.8
27	-0.6899	6.0968	0.19426	3.7	4.3	5.1	6.1	7.5	9.6	12.8
28	-0.6994	6.0905	0.19540	3.7	4.3	5.1	6.1	7.5	9.6	13.0
29	-0.7086	6.0851	0.19657	3.7	4.3	5.1	6.1	7.5	9.6	13.1
30	-0.7175	6.0806	0.19776	3.7	4.3	5.1	6.1	7.5	9.7	13.2
31	-0.7262	6.0766	0.19898	3.7	4.3	5.0	6.1	7.5	9.7	13.3
32	-0.7347	6.0733	0.20021	3.7	4.3	5.0	6.1	7.5	9.8	13.4
33	-0.7429	6.0705	0.20145	3.7	4.3	5.0	6.1	7.6	9.8	13.5
34	-0.7509	6.0683	0.20270	3.7	4.3	5.0	6.1	7.6	9.8	13.7
35	-0.7587	6.0665	0.20395	3.7	4.3	5.0	6.1	7.6	9.9	13.8
36	-0.7664	6.0652	0.20521	3.7	4.2	5.0	6.1	7.6	9.9	13.9
37	-0.7738	6.0643	0.20647	3.7	4.2	5.0	6.1	7.6	10.0	14.1
38	-0.7811	6.0637	0.20773	3.6	4.2	5.0	6.1	7.6	10.0	14.2
39	-0.7882	6.0633	0.20899	3.6	4.2	5.0	6.1	7.6	10.1	14.4
40	-0.7952	6.0632	0.21024	3.6	4.2	5.0	6.1	7.6	10.1	14.6
41	-0.8020	6.0632	0.21149	3.6	4.2	5.0	6.1	7.6	10.2	14.7
42	-0.8087	6.0634	0.21273	3.6	4.2	5.0	6.1	7.7	10.2	14.9
43	-0.8152	6.0637	0.21396	3.6	4.2	5.0	6.1	7.7	10.3	15.0
44	-0.8217	6.0641	0.21518	3.6	4.2	5.0	6.1	7.7	10.3	15.2
45	-0.8280	6.0647	0.21638	3.6	4.2	5.0	6.1	7.7	10.4	15.4
46	-0.8341	6.0653	0.21758	3.6	4.2	5.0	6.1	7.7	10.4	15.6
47	-0.8402	6.0661	0.21876	3.6	4.2	5.0	6.1	7.7	10.5	15.7
48	-0.8462	6.0669	0.21993	3.6	4.2	5.0	6.1	7.7	10.5	15.9
49	-0.8520	6.0679	0.22109	3.6	4.2	5.0	6.1	7.8	10.6	16.1
50	-0.8578	6.0690	0.22223	3.6	4.2	5.0	6.1	7.8	10.6	16.3
51	-0.8634	6.0703	0.22335	3.6	4.2	4.9	6.1	7.8	10.7	16.5
52	-0.8690	6.0717	0.22447	3.6	4.2	4.9	6.1	7.8	10.7	16.7
53	-0.8745	6.0732	0.22556	3.6	4.2	4.9	6.1	7.8	10.8	16.9
54	-0.8799	6.0748	0.22664	3.6	4.1	4.9	6.1	7.8	10.8	17.1
55	-0.8852	6.0765	0.22771	3.6	4.1	4.9	6.1	7.8	10.9	17.3
56	-0.8904	6.0784	0.22876	3.6	4.1	4.9	6.1	7.9	10.9	17.6
57	-0.8955	6.0803	0.22979	3.6	4.1	4.9	6.1	7.9	11.0	17.8
58	-0.9006	6.0823	0.23081	3.6	4.1	4.9	6.1	7.9	11.0	18.0
59	-0.9056	6.0844	0.23182	3.5	4.1	4.9	6.1	7.9	11.1	18.2
60	-0.9105	6.0865	0.23280	3.5	4.1	4.9	6.1	7.9	11.2	18.5
