Month	L	M	S	SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3
3	0.0027	9.7639	0.16618	5.9	7.0	8.3	9.8	11.5	13.6	16.1
4	-0.0165	9.5840	0.17264	5.7	6.8	8.1	9.6	11.4	13.5	16.1
5	-0.0326	9.3885	0.17824	5.5	6.6	7.9	9.4	11.2	13.4	16.1
6	-0.0466	9.1729	0.18304	5.3	6.4	7.6	9.2	11.0	13.3	16.0
7	-0.0590	8.9535	0.18685	5.2	6.2	7.4	9.0	10.8	13.1	15.8
8	-0.0703	8.7435	0.18968	5.0	6.0	7.2	8.7	10.6	12.8	15.6
9	-0.0806	8.5518	0.19166	4.9	5.9	7.1	8.6	10.4	12.6	15.4
10	-0.0901	8.3812	0.19300	4.8	5.7	6.9	8.4	10.2	12.4	15.2
11	-0.0990	8.2323	0.19389	4.7	5.6	6.8	8.2	10.0	12.2	15.0
12	-0.1073	8.1041	0.19453	4.6	5.5	6.7	8.1	9.9	12.1	14.8
13	-0.1152	7.9958	0.19506	4.5	5.5	6.6	8.0	9.7	11.9	14.7
14	-0.1227	7.9064	0.19558	4.5	5.4	6.5	7.9	9.6	11.8	14.5
15	-0.1297	7.8345	0.19612	4.4	5.3	6.5	7.8	9.6	11.7	14.4
16	-0.1365	7.7781	0.19668	4.4	5.3	6.4	7.8	9.5	11.7	14.4
17	-0.1430	7.7351	0.19728	4.4	5.3	6.4	7.7	9.4	11.6	14.4
18	-0.1492	7.7036	0.19793	4.4	5.2	6.3	7.7	9.4	11.6	14.3
19	-0.1552	7.6821	0.19862	4.3	5.2	6.3	7.7	9.4	11.6	14.4
20	-0.1609	7.6697	0.19937	4.3	5.2	6.3	7.7	9.4	11.6	14.4
21	-0.1665	7.6652	0.20018	4.3	5.2	6.3	7.7	9.4	11.6	14.4
22	-0.1719	7.6675	0.20105	4.3	5.2	6.3	7.7	9.4	11.6	14.5
23	-0.1771	7.6750	0.20196	4.3	5.2	6.3	7.7	9.4	11.7	14.6
24	-0.1821	7.6863	0.20293	4.3	5.2	6.3	7.7	9.5	11.7	14.7
25	-0.1870	7.7003	0.20394	4.3	5.2	6.3	7.7	9.5	11.8	14.7
26	-0.1918	7.7156	0.20497	4.3	5.2	6.3	7.7	9.5	11.8	14.8
27	-0.1965	7.7312	0.20603	4.3	5.2	6.3	7.7	9.5	11.9	14.9
28	-0.2010	7.7463	0.20710	4.3	5.2	6.3	7.7	9.6	11.9	15.0
29	-0.2054	7.7602	0.20818	4.3	5.2	6.3	7.8	9.6	12.0	15.1
30	-0.2097	7.7726	0.20928	4.3	5.2	6.3	7.8	9.6	12.0	15.2
31	-0.2139	7.7832	0.21039	4.3	5.2	6.3	7.8	9.7	12.1	15.3
32	-0.2180	7.7920	0.21153	4.3	5.2	6.3	7.8	9.7	12.1	15.4
33	-0.2221	7.7989	0.21269	4.3	5.2	6.3	7.8	9.7	12.2	15.5
34	-0.2260	7.8040	0.21389	4.3	5.2	6.3	7.8	9.7	12.2	15.6
35	-0.2299	7.8074	0.21513	4.3	5.2	6.3	7.8	9.7	12.3	15.7
36	-0.2336	7.8094	0.21641	4.3	5.2	6.3	7.8	9.8	12.3	15.8
37	-0.2374	7.8101	0.21773	4.3	5.2	6.3	7.8	9.8	12.4	15.9
38	-0.2410	7.8096	0.21909	4.2	5.1	6.3	7.8	9.8	12.4	16.0
39	-0.2446	7.8080	0.22049	4.2	5.1	6.3	7.8	9.8	12.5	16.1
40	-0.2481	7.8051	0.22194	4.2	5.1	6.3	7.8	9.8	12.5	16.2
41	-0.2515	7.8009	0.22343	4.2	5.1	6.3	7.8	9.8	12.5	16.3
42	-0.2549	7.7954	0.22496	4.2	5.1	6.3	7.8	9.8	12.6	16.3
43	-0.2583	7.7885	0.22653	4.2	5.1	6.2	7.8	9.8	12.6	16.4
44	-0.2616	7.7804	0.22813	4.1	5.1	6.2	7.8	9.8	12.6	16.5
45	-0.2648	7.7710	0.22975	4.1	5.0	6.2	7.8	9.8	12.7	16.6
46	-0.2680	7.7605	0.23140	4.1	5.0	6.2	7.8	9.9	12.7	16.7
47	-0.2711	7.7489	0.23306	4.1	5.0	6.2	7.7	9.9	12.8	16.8
48	-0.2742	7.7364	0.23473	4.1	5.0	6.2	7.7	9.9	12.8	16.9
49	-0.2772	7.7233	0.23642	4.0	5.0	6.1	7.7	9.9	12.8	17.0
50	-0.2802	7.7096	0.23811	4.0	4.9	6.1	7.7	9.9	12.9	17.1
51	-0.2832	7.6955	0.23981	4.0	4.9	6.1	7.7	9.9	12.9	17.2
52	-0.2861	7.6812	0.24151	4.0	4.9	6.1	7.7	9.9	12.9	17.3
53	-0.2890	7.6669	0.24322	4.0	4.9	6.1	7.7	9.9	13.0	17.4
54	-0.2918	7.6525	0.24494	3.9	4.8	6.0	7.7	9.9	13.0	17.5
55	-0.2946	7.6383	0.24666	3.9	4.8	6.0	7.6	9.9	13.0	17.6
56	-0.2974	7.6242	0.24839	3.9	4.8	6.0	7.6	9.9	13.1	17.7
57	-0.3001	7.6104	0.25013	3.9	4.8	6.0	7.6	9.9	13.1	17.8
58	-0.3028	7.5968	0.25186	3.8	4.8	6.0	7.6	9.9	13.1	17.9
59	-0.3055	7.5835	0.25360	3.8	4.7	5.9	7.6	9.9	13.2	18.0
60	-0.3081	7.5706	0.25533	3.8	4.7	5.9	7.6	9.9	13.2	18.1
