Month	L	M	S	SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3
3	0.1875	9.7516	0.17535	5.6	6.8	8.2	9.8	11.6	13.7	16.1
4	0.1256	9.5866	0.18337	5.4	6.6	8.0	9.6	11.5	13.7	16.3
5	0.0761	9.3716	0.19007	5.2	6.4	7.7	9.4	11.3	13.6	16.4
6	0.0349	9.1194	0.19540	5.0	6.2	7.5	9.1	11.1	13.4	16.3
7	-0.0003	8.8621	0.19934	4.9	5.9	7.3	8.9	10.8	13.2	16.1
8	-0.0307	8.6228	0.20192	4.7	5.8	7.1	8.6	10.6	12.9	15.9
9	-0.0572	8.4164	0.20339	4.6	5.6	6.9	8.4	10.3	12.7	15.7
10	-0.0799	8.2468	0.20413	4.5	5.5	6.7	8.2	10.1	12.5	15.5
11	-0.0995	8.1114	0.20442	4.5	5.4	6.6	8.1	10.0	12.3	15.3
12	-0.1161	8.0042	0.20445	4.4	5.4	6.5	8.0	9.8	12.2	15.1
13	-0.1303	7.9197	0.20432	4.4	5.3	6.5	7.9	9.7	12.1	15.0
14	-0.1424	7.8538	0.20409	4.4	5.3	6.4	7.9	9.7	12.0	14.9
15	-0.1527	7.8041	0.20384	4.3	5.3	6.4	7.8	9.6	11.9	14.8
16	-0.1615	7.7681	0.20363	4.3	5.2	6.4	7.8	9.6	11.8	14.8
17	-0.1690	7.7443	0.20350	4.3	5.2	6.3	7.7	9.5	11.8	14.8
18	-0.1755	7.7315	0.20350	4.3	5.2	6.3	7.7	9.5	11.8	14.7
19	-0.1811	7.7287	0.20364	4.3	5.2	6.3	7.7	9.5	11.8	14.8
20	-0.1859	7.7347	0.20393	4.3	5.2	6.3	7.7	9.5	11.8	14.8
21	-0.1901	7.7484	0.20437	4.3	5.2	6.3	7.7	9.5	11.9	14.9
22	-0.1939	7.7692	0.20496	4.3	5.2	6.4	7.8	9.6	11.9	15.0
23	-0.1973	7.7958	0.20568	4.4	5.2	6.4	7.8	9.6	12.0	15.1
24	-0.2004	7.8273	0.20652	4.4	5.3	6.4	7.8	9.7	12.0	15.2
25	-0.2032	7.8628	0.20748	4.4	5.3	6.4	7.9	9.7	12.1	15.3
26	-0.2058	7.9006	0.20855	4.4	5.3	6.4	7.9	9.8	12.2	15.4
27	-0.2081	7.9396	0.20971	4.4	5.3	6.5	7.9	9.8	12.3	15.6
28	-0.2103	7.9786	0.21096	4.4	5.3	6.5	8.0	9.9	12.4	15.7
29	-0.2122	8.0167	0.21228	4.4	5.3	6.5	8.0	10.0	12.5	15.9
30	-0.2140	8.0535	0.21366	4.4	5.4	6.5	8.1	10.0	12.6	16.0
31	-0.2155	8.0887	0.21509	4.4	5.4	6.6	8.1	10.1	12.7	16.2
32	-0.2170	8.1224	0.21657	4.4	5.4	6.6	8.1	10.1	12.8	16.4
33	-0.2183	8.1545	0.21809	4.4	5.4	6.6	8.2	10.2	12.9	16.5
34	-0.2195	8.1855	0.21964	4.4	5.4	6.6	8.2	10.3	13.0	16.7
35	-0.2207	8.2156	0.22122	4.4	5.4	6.6	8.2	10.3	13.1	16.8
36	-0.2217	8.2450	0.22282	4.4	5.4	6.6	8.2	10.4	13.2	17.0
37	-0.2227	8.2738	0.22444	4.4	5.4	6.6	8.3	10.4	13.3	17.2
38	-0.2237	8.3019	0.22608	4.4	5.4	6.7	8.3	10.5	13.4	17.3
39	-0.2246	8.3294	0.22772	4.4	5.4	6.7	8.3	10.5	13.5	17.5
40	-0.2254	8.3560	0.22937	4.4	5.4	6.7	8.4	10.6	13.6	17.6
41	-0.2262	8.3818	0.23101	4.4	5.4	6.7	8.4	10.6	13.7	17.8
42	-0.2270	8.4068	0.23264	4.4	5.4	6.7	8.4	10.7	13.7	18.0
43	-0.2278	8.4311	0.23427	4.4	5.4	6.7	8.4	10.7	13.8	18.1
44	-0.2285	8.4550	0.23587	4.4	5.4	6.7	8.5	10.8	13.9	18.3
45	-0.2292	8.4786	0.23747	4.4	5.4	6.7	8.5	10.8	14.0	18.5
46	-0.2298	8.5019	0.23904	4.4	5.4	6.7	8.5	10.9	14.1	18.6
47	-0.2304	8.5250	0.24060	4.4	5.4	6.7	8.5	10.9	14.2	18.8
48	-0.2310	8.5481	0.24215	4.4	5.4	6.8	8.5	11.0	14.3	18.9
49	-0.2316	8.5711	0.24367	4.4	5.4	6.8	8.6	11.0	14.4	19.1
50	-0.2321	8.5942	0.24517	4.4	5.4	6.8	8.6	11.1	14.5	19.3
51	-0.2326	8.6174	0.24665	4.4	5.4	6.8	8.6	11.1	14.6	19.4
52	-0.2331	8.6406	0.24811	4.3	5.4	6.8	8.6	11.2	14.6	19.6
53	-0.2336	8.6641	0.24954	4.3	5.4	6.8	8.7	11.2	14.7	19.7
54	-0.2341	8.6876	0.25095	4.3	5.4	6.8	8.7	11.3	14.8	19.9
55	-0.2346	8.7112	0.25233	4.3	5.4	6.8	8.7	11.3	14.9	20.0
56	-0.2350	8.7349	0.25369	4.3	5.4	6.8	8.7	11.3	15.0	20.2
57	-0.2355	8.7586	0.25502	4.3	5.4	6.8	8.8	11.4	15.1	20.4
58	-0.2359	8.7824	0.25633	4.3	5.4	6.8	8.8	11.4	15.2	20.5
59	-0.2363	8.8061	0.25761	4.3	5.4	6.9	8.8	11.5	15.3	20.7
60	-0.2368	8.8298	0.25887	4.3	5.4	6.9	8.8	11.5	15.3	20.8
