Month	L	M	S	SD4neg	SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3	SD4
61	-0.8886	15.2441	0.09692	10.793	11.77	12.748	13.891	15.244	16.87	18.858	21.34	23.821
62	-0.9068	15.2434	0.09738	10.786	11.763	12.741	13.885	15.243	16.879	18.886	21.403	23.92
63	-0.9248	15.2433	0.09783	10.78	11.757	12.734	13.881	15.243	16.889	18.915	21.468	24.02
64	-0.9427	15.2438	0.09829	10.775	11.752	12.728	13.876	15.244	16.9	18.946	21.535	24.123
65	-0.9605	15.2448	0.09875	10.77	11.746	12.723	13.872	15.245	16.911	18.977	21.603	24.23
66	-0.978	15.2464	0.0992	10.765	11.742	12.718	13.869	15.246	16.923	19.009	21.673	24.337
67	-0.9954	15.2487	0.09966	10.761	11.737	12.714	13.866	15.249	16.936	19.042	21.745	24.448
68	-1.0126	15.2516	0.10012	10.757	11.733	12.71	13.864	15.252	16.95	19.077	21.819	24.561
69	-1.0296	15.2551	0.10058	10.754	11.73	12.706	13.863	15.255	16.964	19.112	21.895	24.678
70	-1.0464	15.2592	0.10104	10.751	11.727	12.703	13.862	15.259	16.979	19.148	21.973	24.797
71	-1.063	15.2641	0.10149	10.749	11.725	12.701	13.862	15.264	16.995	19.185	22.051	24.917
72	-1.0794	15.2697	0.10195	10.747	11.723	12.7	13.862	15.27	17.011	19.224	22.133	25.042
73	-1.0956	15.276	0.10241	10.745	11.722	12.699	13.863	15.276	17.029	19.264	22.217	25.17
74	-1.1115	15.2831	0.10287	10.744	11.721	12.698	13.865	15.283	17.047	19.305	22.303	25.301
75	-1.1272	15.2911	0.10333	10.744	11.721	12.699	13.867	15.291	17.067	19.347	22.391	25.435
76	-1.1427	15.2998	0.10379	10.744	11.722	12.7	13.87	15.3	17.087	19.391	22.481	25.572
77	-1.1579	15.3095	0.10425	10.745	11.723	12.701	13.874	15.31	17.108	19.436	22.574	25.712
78	-1.1728	15.32	0.10471	10.746	11.725	12.704	13.879	15.32	17.131	19.482	22.668	25.855
79	-1.1875	15.3314	0.10517	10.748	11.727	12.707	13.885	15.331	17.154	19.529	22.766	26.002
80	-1.2019	15.3439	0.10562	10.751	11.731	12.711	13.892	15.344	17.179	19.578	22.864	26.15
81	-1.216	15.3572	0.10608	10.754	11.735	12.716	13.899	15.357	17.204	19.628	22.966	26.304
82	-1.2298	15.3717	0.10654	10.758	11.74	12.721	13.907	15.372	17.231	19.68	23.071	26.461
83	-1.2433	15.3871	0.107	10.762	11.745	12.728	13.916	15.387	17.259	19.734	23.178	26.621
84	-1.2565	15.4036	0.10746	10.767	11.751	12.735	13.927	15.404	17.289	19.789	23.287	26.785
85	-1.2693	15.4211	0.10792	10.773	11.758	12.743	13.938	15.421	17.319	19.845	23.399	26.953
86	-1.2819	15.4397	0.10837	10.779	11.766	12.752	13.95	15.44	17.35	19.903	23.512	27.122
87	-1.2941	15.4593	0.10883	10.786	11.774	12.762	13.963	15.459	17.383	19.963	23.629	27.296
88	-1.306	15.4798	0.10929	10.793	11.783	12.772	13.976	15.48	17.417	20.023	23.749	27.474
