Month	L	M	S	StDev	SD5neg	SD4neg	SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3	SD4
61	1	110.2647	0.04164	4.5914	87.308	91.899	96.49	101.082	105.673	110.265	114.856	119.448	124.039	128.63
62	1	110.8006	0.04172	4.6226	87.688	92.31	96.933	101.555	106.178	110.801	115.423	120.046	124.668	129.291
63	1	111.3338	0.0418	4.6538	88.065	92.719	97.373	102.026	106.68	111.334	115.988	120.641	125.295	129.949
64	1	111.8636	0.04187	4.6837	88.445	93.129	97.812	102.496	107.18	111.864	116.547	121.231	125.915	130.599
65	1	112.3895	0.04195	4.7147	88.816	93.531	98.245	102.96	107.675	112.39	117.104	121.819	126.534	131.248
66	1	112.9110	0.04203	4.7456	89.183	93.928	98.674	103.42	108.165	112.911	117.657	122.402	127.148	131.894
67	1	113.4280	0.04211	4.7765	89.546	94.322	99.099	103.875	108.652	113.428	118.204	122.981	127.757	132.534
68	1	113.9410	0.04218	4.806	89.911	94.717	99.523	104.329	109.135	113.941	118.747	123.553	128.359	133.165
69	1	114.4500	0.04226	4.8367	90.267	95.103	99.94	104.777	109.613	114.45	119.287	124.123	128.96	133.797
70	1	114.9547	0.04234	4.8672	90.619	95.486	100.353	105.22	110.088	114.955	119.822	124.689	129.556	134.423
71	1	115.4549	0.04241	4.8964	90.973	95.869	100.766	105.662	110.558	115.455	120.351	125.248	130.144	135.041
72	1	115.9509	0.04249	4.9268	91.317	96.244	101.171	106.097	111.024	115.951	120.878	125.804	130.731	135.658
73	1	116.4432	0.04257	4.957	91.658	96.615	101.572	106.529	111.486	116.443	121.4	126.357	131.314	136.271
74	1	116.9325	0.04264	4.986	92.002	96.988	101.974	106.96	111.946	116.932	121.919	126.905	131.891	136.877
75	1	117.4196	0.04272	5.0162	92.339	97.355	102.371	107.387	112.403	117.42	122.436	127.452	132.468	137.484
76	1	117.9046	0.0428	5.0463	92.673	97.719	102.766	107.812	112.858	117.905	122.951	127.997	133.044	138.09
77	1	118.3880	0.04287	5.0753	93.012	98.087	103.162	108.237	113.313	118.388	123.463	128.539	133.614	138.689
78	1	118.8700	0.04295	5.1055	93.343	98.448	103.554	108.659	113.765	118.87	123.975	129.081	134.186	139.292
79	1	119.3508	0.04303	5.1357	93.672	98.808	103.944	109.079	114.215	119.351	124.486	129.622	134.758	139.893
80	1	119.8303	0.04311	5.1659	94.001	99.167	104.333	109.499	114.664	119.83	124.996	130.162	135.328	140.494
81	1	120.3085	0.04318	5.1949	94.334	99.529	104.724	109.919	115.114	120.308	125.503	130.698	135.893	141.088
82	1	120.7853	0.04326	5.2252	94.659	99.885	105.11	110.335	115.56	120.785	126.01	131.236	136.461	141.686
