Month	L	M	S	StDev	SD5neg	SD4neg	SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3	SD4
61	1	109.6016	0.04355	4.7731	85.736	90.509	95.282	100.055	104.828	109.602	114.375	119.148	123.921	128.694
62	1	110.1258	0.04364	4.8059	86.096	90.902	95.708	100.514	105.32	110.126	114.932	119.738	124.543	129.349
63	1	110.6451	0.04373	4.8385	86.453	91.291	96.13	100.968	105.807	110.645	115.484	120.322	125.161	129.999
64	1	111.1596	0.04382	4.871	86.805	91.676	96.547	101.418	106.289	111.16	116.031	120.902	125.773	130.644
65	1	111.6696	0.0439	4.9023	87.158	92.06	96.963	101.865	106.767	111.67	116.572	121.474	126.376	131.279
66	1	112.1753	0.04399	4.9346	87.502	92.437	97.372	102.306	107.241	112.175	117.11	122.044	126.979	131.914
67	1	112.6767	0.04407	4.9657	87.848	92.814	97.78	102.745	107.711	112.677	117.642	122.608	127.574	132.539
68	1	113.1740	0.04415	4.9966	88.191	93.187	98.184	103.181	108.177	113.174	118.171	123.167	128.164	133.161
69	1	113.6672	0.04423	5.0275	88.53	93.557	98.585	103.612	108.64	113.667	118.695	123.722	128.75	133.777
70	1	114.1565	0.04431	5.0583	88.865	93.923	98.982	104.04	109.098	114.156	119.215	124.273	129.331	134.39
71	1	114.6421	0.04439	5.089	89.197	94.286	99.375	104.464	109.553	114.642	119.731	124.82	129.909	134.998
72	1	115.1244	0.04447	5.1196	89.526	94.646	99.766	104.885	110.005	115.124	120.244	125.364	130.483	135.603
73	1	115.6039	0.04454	5.149	89.859	95.008	100.157	105.306	110.455	115.604	120.753	125.902	131.051	136.2
74	1	116.0812	0.04461	5.1784	90.189	95.368	100.546	105.724	110.903	116.081	121.26	126.438	131.616	136.795
75	1	116.5568	0.04469	5.2089	90.512	95.721	100.93	106.139	111.348	116.557	121.766	126.975	132.184	137.392
76	1	117.0311	0.04475	5.2371	90.845	96.083	101.32	106.557	111.794	117.031	122.268	127.505	132.743	137.98
77	1	117.5044	0.04482	5.2665	91.172	96.438	101.705	106.971	112.238	117.504	122.771	128.037	133.304	138.571
78	1	117.9769	0.04489	5.296	91.497	96.793	102.089	107.385	112.681	117.977	123.273	128.569	133.865	139.161
79	1	118.4489	0.04495	5.3243	91.828	97.152	102.476	107.8	113.125	118.449	123.773	129.097	134.422	139.746
