Month	L	M	S	SD4neg	SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3	SD4
61	-0.2026	18.5057	0.12988	11.07	12.718	14.367	16.279	18.506	21.109	24.165	27.77	31.375
62	-0.213	18.6802	0.13028	11.171	12.833	14.496	16.428	18.68	21.319	24.423	28.093	31.764
63	-0.2234	18.8563	0.13067	11.272	12.95	14.627	16.578	18.856	21.53	24.683	28.42	32.157
64	-0.2338	19.034	0.13105	11.376	13.067	14.759	16.729	19.034	21.744	24.946	28.75	32.554
65	-0.2443	19.2132	0.13142	11.48	13.186	14.892	16.882	19.213	21.959	25.21	29.083	32.956
66	-0.2548	19.394	0.13178	11.587	13.307	15.027	17.036	19.394	22.176	25.477	29.42	33.362
67	-0.2653	19.5765	0.13213	11.694	13.429	15.164	17.192	19.576	22.395	25.747	29.76	33.772
68	-0.2758	19.7607	0.13246	11.804	13.553	15.302	17.35	19.761	22.615	26.018	30.102	34.186
69	-0.2864	19.9468	0.13279	11.915	13.679	15.442	17.509	19.947	22.839	26.293	30.449	34.605
70	-0.2969	20.1344	0.13311	12.027	13.805	15.583	17.67	20.134	23.063	26.569	30.799	35.029
71	-0.3075	20.3235	0.13342	12.141	13.934	15.726	17.832	20.324	23.29	26.848	31.153	35.457
72	-0.318	20.5137	0.13372	12.256	14.063	15.87	17.996	20.514	23.517	27.129	31.508	35.888
73	-0.3285	20.7052	0.13402	12.371	14.193	16.015	18.16	20.705	23.747	27.412	31.868	36.324
74	-0.339	20.8979	0.13432	12.488	14.324	16.16	18.326	20.898	23.978	27.697	32.231	36.765
75	-0.3494	21.0918	0.13462	12.605	14.456	16.307	18.492	21.092	24.21	27.984	32.598	37.211
76	-0.3598	21.287	0.13493	12.722	14.588	16.454	18.659	21.287	24.445	28.275	32.969	37.664
77	-0.3701	21.4833	0.13523	12.841	14.721	16.602	18.828	21.483	24.68	28.567	33.343	38.12
78	-0.3804	21.681	0.13554	12.96	14.855	16.751	18.997	21.681	24.918	28.862	33.723	38.583
79	-0.3906	21.8799	0.13586	13.079	14.99	16.9	19.167	21.88	25.158	29.161	34.107	39.054
80	-0.4007	22.08	0.13618	13.199	15.125	17.05	19.338	22.08	25.399	29.461	34.495	39.529
81	-0.4107	22.2813	0.13652	13.318	15.259	17.201	19.51	22.281	25.642	29.765	34.889	40.013
82	-0.4207	22.4837	0.13686	13.438	15.395	17.352	19.682	22.484	25.887	30.072	35.287	40.503
83	-0.4305	22.6872	0.13722	13.558	15.531	17.503	19.855	22.687	26.134	30.382	35.692	41.001
